metabolite,platform_name,super_pathway,sub_pathway,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
5-dodecenoate (12:1n7),Metabolon HD4 [nt-ms],Lipids,Medium Chain Fatty Acid,1920,Fasting,1.87551481736849,2.22340894038511,3.6025691921595e-11,10.4433876692275,2.22340894038511
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",960,Fasting,1.65799448897529,2.21543400734234,9.50891327156272e-56,55.0218691136758,2.21543400734234
cortisone,Metabolon HD4 [nt-ms],Lipids,Steroid,840,Fasting,-1.28667608551982,-2.20390191225702,6.47495437666516e-15,14.1887632873289,2.20390191225702
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Peptides,Gamma-glutamyl Amino Acid,1920,Fasting,2.00302363811963,2.19573809670911,8.650462430809e-17,16.0629606756819,2.19573809670911
cortisone,Metabolon HD4 [nt-ms],Lipids,Steroid,960,Fasting,-1.27710781757723,-2.19433364431443,6.47495437666516e-15,14.1887632873289,2.19433364431443
pantothenate,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Pantothenate and CoA Metabolism,30,PAT,1.71880872710665,2.19055111026085,2.92356428880344e-19,18.5340873516418,2.19055111026085
trigonelline (n'-methylnicotinate),Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,840,Fasting,-0.0994598476833432,-2.18866432415826,2.70510634457073e-14,13.5678156570075,2.18866432415826
hexadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",960,Fasting,1.75171226961308,2.18527647902083,2.5378246319385e-62,61.5955383917026,2.18527647902083
hippurate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,720,Fasting,-0.386468923046949,-2.18412949866907,5.43197755476206e-14,13.2650420332532,2.18412949866907
paraxanthine,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,1920,Fasting,-0.559634168212446,-2.18215788395104,4.43249897480295e-13,12.3533513561754,2.18215788395104
citrulline,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,300,OLTT,-1.1450033590107,-2.17664296161534,6.97509720568242e-13,12.156449735639,2.17664296161534
dopamine sulfate (2),Metabolon HD4 [nt-ms],Amino Acids,Phenylalanine and Tyrosine Metabolism,180,OLTT,1.36863581039101,2.17302275278964,2.10745233800531e-55,54.6762422385658,2.17302275278964
oleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,1.23989467612673,2.17013410315681,3.4272565781269e-42,41.4650533813322,2.17013410315681
dopamine sulfate (2),Metabolon HD4 [nt-ms],Amino Acids,Phenylalanine and Tyrosine Metabolism,240,OLTT,1.36531828263118,2.1697052250298,2.10745233800531e-55,54.6762422385658,2.1697052250298
citrulline,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,240,OLTT,-1.13599794329322,-2.16763754589786,6.97509720568242e-13,12.156449735639,2.16763754589786
hippurate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,840,Fasting,-0.36845331092542,-2.16611388654754,5.43197755476206e-14,13.2650420332532,2.16611388654754
3-methyl-2-oxovalerate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,1.54865635266568,2.1604627877726,9.80155895157669e-25,24.0087048436726,2.1604627877726
